workload,m,n,k,num_chiplets,link_bw,best_strategy,speedup,compute_cycles,distribute_cycles,reduce_cycles
bert_qkv_proj_seq2048,2048,768,768,5,4,split_m,0.3070990359333918,24528,294952,0
bert_qkv_proj_seq2048,2048,768,768,5,8,split_m,0.5703390224619821,24528,147496,0
bert_qkv_proj_seq2048,2048,768,768,5,16,split_m,0.9981281028729552,24528,73768,0
bert_qkv_proj_seq2048,2048,768,768,5,32,split_m,1.5970829535095716,24528,36904,0
bert_qkv_proj_seq2048,2048,768,768,5,64,split_mn,2.3948447568834212,16352,24616,0
bert_qkv_proj_seq2048,2048,768,768,5,128,split_mn,3.4209205020920503,16352,12328,0
bert_qkv_proj_seq2048,2048,768,768,5,256,split_mn,4.35356762513312,16352,6184,0
bert_qkv_proj_seq2048,2048,768,768,6,1,split_m,0.08189006872582619,18396,1179698,0
bert_qkv_proj_seq2048,2048,768,768,6,2,split_m,0.16129679254278528,18396,589874,0
bert_qkv_proj_seq2048,2048,768,768,6,4,split_m,0.31309875605537435,18396,294962,0
bert_qkv_proj_seq2048,2048,768,768,6,8,split_m,0.5913852756446577,18396,147506,0
bert_qkv_proj_seq2048,2048,768,768,6,16,split_m,1.064421637338078,18396,73778,0
bert_qkv_proj_seq2048,2048,768,768,6,32,split_m,1.7738564454890617,18396,36914,0
bert_qkv_proj_seq2048,2048,768,768,6,64,split_m,2.6604479635555074,18396,18482,0
bert_qkv_proj_seq2048,2048,768,768,6,128,split_m,3.546815125442846,18396,9266,0
bert_qkv_proj_seq2048,2048,768,768,6,256,split_mn,4.35163665395192,16352,6194,0
bert_qkv_proj_seq2048,2048,768,768,7,1,split_m,0.08188938522866128,18396,1179708,0
bert_qkv_proj_seq2048,2048,768,768,7,2,split_m,0.16129414085618465,18396,589884,0
bert_qkv_proj_seq2048,2048,768,768,7,4,split_m,0.3130887646473156,18396,294972,0
bert_qkv_proj_seq2048,2048,768,768,7,8,split_m,0.5913496311297556,18396,147516,0
bert_qkv_proj_seq2048,2048,768,768,7,16,split_m,1.0643061702681593,18396,73788,0
bert_qkv_proj_seq2048,2048,768,768,7,32,split_m,1.7735357917570498,18396,36924,0
bert_qkv_proj_seq2048,2048,768,768,7,64,split_m,2.659726740403383,18396,18492,0
bert_qkv_proj_seq2048,2048,768,768,7,128,split_m,3.5455333911535125,18396,9276,0
bert_qkv_proj_seq2048,2048,768,768,7,256,split_mn,4.349707394928179,16352,6204,0
bert_qkv_proj_seq2048,2048,768,768,8,1,split_m,0.08230996776796964,12264,1179718,0
bert_qkv_proj_seq2048,2048,768,768,8,2,split_m,0.16293398078245244,12264,589894,0
bert_qkv_proj_seq2048,2048,768,768,8,4,split_m,0.31932718408050875,12264,294982,0
bert_qkv_proj_seq2048,2048,768,768,8,8,split_m,0.6140058827210714,12264,147526,0
bert_qkv_proj_seq2048,2048,768,768,8,16,split_m,1.1400153377797402,12264,73798,0
bert_qkv_proj_seq2048,2048,768,768,8,32,split_m,1.9942274076181958,12264,36934,0
bert_qkv_proj_seq2048,2048,768,768,8,64,split_m,3.188974842358448,12264,18502,0
bert_qkv_proj_seq2048,2048,768,768,8,128,split_m,4.552761020881671,12264,9286,0
bert_qkv_proj_seq2048,2048,768,768,8,256,split_m,5.791051823869673,12264,4678,0
